bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR,Fraud Savings,FP Loss,Overall Savings
60.0,252.0,252.0,0.0,100.0,0.0,15115.0,14852.0,263.0,59.60589155997913,95.98540145985402,36.37950989987489,56.47148288973384,105200.0,445560.0,-340360.0
61.0,252.0,251.0,1.0,99.60317460317461,0.39682539682539186,15367.0,15103.0,264.0,60.61323594333186,96.35036496350365,35.73712902017179,57.208333333333336,105600.0,453090.0,-347490.0
62.0,251.0,251.0,0.0,100.0,0.0,15618.0,15354.0,264.0,61.620580326684596,96.35036496350365,34.729784636819055,58.15909090909091,105600.0,460620.0,-355020.0
63.0,252.0,252.0,0.0,100.0,0.0,15870.0,15606.0,264.0,62.63193803427379,96.35036496350365,33.718426929229864,59.11363636363637,105600.0,468180.0,-362580.0
64.0,252.0,252.0,0.0,100.0,0.0,16122.0,15858.0,264.0,63.643295741862985,96.35036496350365,32.707069221640666,60.06818181818182,105600.0,475740.0,-370140.0
65.0,252.0,252.0,0.0,100.0,0.0,16374.0,16110.0,264.0,64.65465344945218,96.35036496350365,31.695711514051467,61.02272727272727,105600.0,483300.0,-377700.0
66.0,252.0,252.0,0.0,100.0,0.0,16626.0,16362.0,264.0,65.66601115704138,96.35036496350365,30.68435380646227,61.97727272727273,105600.0,490860.0,-385260.0
67.0,252.0,252.0,0.0,100.0,0.0,16878.0,16614.0,264.0,66.67736886463058,96.35036496350365,29.67299609887307,62.93181818181818,105600.0,498420.0,-392820.0
68.0,252.0,252.0,0.0,100.0,0.0,17130.0,16866.0,264.0,67.68872657221976,96.35036496350365,28.661638391283887,63.88636363636363,105600.0,505980.0,-400380.0
69.0,252.0,250.0,2.0,99.2063492063492,0.7936507936507979,17382.0,17116.0,266.0,68.69205763133604,97.08029197080292,28.388234339466877,64.34586466165413,106400.0,513480.0,-407080.0
70.0,252.0,252.0,0.0,100.0,0.0,17634.0,17368.0,266.0,69.70341533892523,97.08029197080292,27.376876631877693,65.29323308270676,106400.0,521040.0,-414640.0
71.0,252.0,252.0,0.0,100.0,0.0,17886.0,17620.0,266.0,70.71477304651442,97.08029197080292,26.365518924288494,66.2406015037594,106400.0,528600.0,-422200.0
72.0,252.0,251.0,1.0,99.60317460317461,0.39682539682539186,18138.0,17871.0,267.0,71.72211742986715,97.44525547445255,25.723138044585397,66.93258426966293,106800.0,536130.0,-429330.0
73.0,251.0,251.0,0.0,100.0,0.0,18389.0,18122.0,267.0,72.72946181321988,97.44525547445255,24.715793661232667,67.87265917602996,106800.0,543660.0,-436860.0
74.0,252.0,252.0,0.0,100.0,0.0,18641.0,18374.0,267.0,73.74081952080908,97.44525547445255,23.70443595364347,68.81647940074906,106800.0,551220.0,-444420.0
75.0,252.0,251.0,1.0,99.60317460317461,0.39682539682539186,18893.0,18625.0,268.0,74.74816390416181,97.81021897810218,23.06205507394037,69.49626865671642,107200.0,558750.0,-451550.0
