bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR,Fraud Savings,FP Loss,Overall Savings
37.0,588.0,588.0,0.0,100.0,0.0,21748.0,21186.0,562.0,36.41895724820793,92.73927392739274,56.32031667918481,37.69750889679715,224800.0,635580.0,-410780.0
38.0,588.0,587.0,1.0,99.82993197278911,0.17006802721088832,22336.0,21773.0,563.0,37.42801643374074,92.9042904290429,55.476273995302165,38.673179396092365,225200.0,653190.0,-427990.0
39.0,588.0,587.0,1.0,99.82993197278911,0.17006802721088832,22924.0,22360.0,564.0,38.43707561927354,93.06930693069307,54.63223131141953,39.645390070921984,225600.0,670800.0,-445200.0
40.0,588.0,587.0,1.0,99.82993197278911,0.17006802721088832,23512.0,22947.0,565.0,39.446134804806356,93.23432343234323,53.788188627536876,40.614159292035396,226000.0,688410.0,-462410.0
41.0,587.0,587.0,0.0,100.0,0.0,24099.0,23534.0,565.0,40.45519399033916,93.23432343234323,52.77912944200407,41.65309734513274,226000.0,706020.0,-480020.0
42.0,588.0,587.0,1.0,99.82993197278911,0.17006802721088832,24687.0,24121.0,566.0,41.46425317587197,93.3993399339934,51.935086758121436,42.61660777385159,226400.0,723630.0,-497230.0
43.0,588.0,588.0,0.0,100.0,0.0,25275.0,24709.0,566.0,42.47503137194231,93.3993399339934,50.924308562051095,43.65547703180212,226400.0,741270.0,-514870.0
44.0,588.0,588.0,0.0,100.0,0.0,25863.0,25297.0,566.0,43.485809568012655,93.3993399339934,49.91353036598075,44.69434628975265,226400.0,758910.0,-532510.0
45.0,588.0,588.0,0.0,100.0,0.0,26451.0,25885.0,566.0,44.496587764082996,93.3993399339934,48.90275216991041,45.73321554770318,226400.0,776550.0,-550150.0
46.0,587.0,587.0,0.0,100.0,0.0,27038.0,26472.0,566.0,45.5056469496158,93.3993399339934,47.8936929843776,46.77031802120141,226400.0,794160.0,-567760.0
47.0,588.0,588.0,0.0,100.0,0.0,27626.0,27060.0,566.0,46.51642514568614,93.3993399339934,46.88291478830726,47.80918727915194,226400.0,811800.0,-585400.0
48.0,588.0,587.0,1.0,99.82993197278911,0.17006802721088832,28214.0,27647.0,567.0,47.52548433121895,93.56435643564356,46.03887210442461,48.760141093474424,226800.0,829410.0,-602610.0
49.0,588.0,587.0,1.0,99.82993197278911,0.17006802721088832,28802.0,28234.0,568.0,48.53454351675176,93.72937293729373,45.19482942054197,49.70774647887324,227200.0,847020.0,-619820.0
50.0,588.0,587.0,1.0,99.82993197278911,0.17006802721088832,29390.0,28821.0,569.0,49.543602702284566,93.89438943894389,44.35078673665932,50.65202108963093,227600.0,864630.0,-637030.0
51.0,587.0,587.0,0.0,100.0,0.0,29977.0,29408.0,569.0,50.55266188781737,93.89438943894389,43.34172755112652,51.68365553602812,227600.0,882240.0,-654640.0
52.0,588.0,588.0,0.0,100.0,0.0,30565.0,29996.0,569.0,51.56344008388771,93.89438943894389,42.33094935505618,52.71704745166959,227600.0,899880.0,-672280.0
53.0,588.0,588.0,0.0,100.0,0.0,31153.0,30584.0,569.0,52.57421827995805,93.89438943894389,41.320171158985836,53.750439367311074,227600.0,917520.0,-689920.0
54.0,588.0,588.0,0.0,100.0,0.0,31741.0,31172.0,569.0,53.5849964760284,93.89438943894389,40.30939296291549,54.78383128295255,227600.0,935160.0,-707560.0
55.0,587.0,586.0,1.0,99.82964224872232,0.1703577512776775,32328.0,31758.0,570.0,54.59233665102367,94.05940594059406,39.46706928957039,55.71578947368421,228000.0,952740.0,-724740.0
56.0,588.0,586.0,2.0,99.65986394557824,0.3401360544217624,32916.0,32344.0,572.0,55.59967682601894,94.38943894389439,38.78976211787545,56.54545454545455,228800.0,970320.0,-741520.0
57.0,588.0,588.0,0.0,100.0,0.0,33504.0,32932.0,572.0,56.61045502208928,94.38943894389439,37.77898392180511,57.57342657342657,228800.0,987960.0,-759160.0
58.0,588.0,587.0,1.0,99.82993197278911,0.17006802721088832,34092.0,33519.0,573.0,57.619514207622096,94.55445544554455,36.93494123792245,58.49738219895288,229200.0,1005570.0,-776370.0
59.0,588.0,587.0,1.0,99.82993197278911,0.17006802721088832,34680.0,34106.0,574.0,58.6285733931549,94.71947194719472,36.09089855403982,59.41811846689895,229600.0,1023180.0,-793580.0
60.0,587.0,587.0,0.0,100.0,0.0,35267.0,34693.0,574.0,59.63763257868771,94.71947194719472,35.08183936850701,60.440766550522646,229600.0,1040790.0,-811190.0
61.0,588.0,588.0,0.0,100.0,0.0,35855.0,35281.0,574.0,60.64841077475805,94.71947194719472,34.07106117243667,61.465156794425084,229600.0,1058430.0,-828830.0
62.0,588.0,588.0,0.0,100.0,0.0,36443.0,35869.0,574.0,61.65918897082839,94.71947194719472,33.06028297636633,62.48954703832753,229600.0,1076070.0,-846470.0
63.0,588.0,588.0,0.0,100.0,0.0,37031.0,36457.0,574.0,62.669967166898736,94.71947194719472,32.04950478029598,63.51393728222997,229600.0,1093710.0,-864110.0
64.0,588.0,588.0,0.0,100.0,0.0,37619.0,37045.0,574.0,63.68074536296908,94.71947194719472,31.038726584225643,64.5383275261324,229600.0,1111350.0,-881750.0
65.0,587.0,586.0,1.0,99.82964224872232,0.1703577512776775,38206.0,37631.0,575.0,64.68808553796434,94.88448844884489,30.19640291088055,65.44521739130435,230000.0,1128930.0,-898930.0
66.0,588.0,586.0,2.0,99.65986394557824,0.3401360544217624,38794.0,38217.0,577.0,65.69542571295962,95.21452145214522,29.5190957391856,66.23396880415945,230800.0,1146510.0,-915710.0
67.0,588.0,586.0,2.0,99.65986394557824,0.3401360544217624,39382.0,38803.0,579.0,66.7027658879549,95.54455445544555,28.841788567490653,67.01727115716753,231600.0,1164090.0,-932490.0
68.0,588.0,588.0,0.0,100.0,0.0,39970.0,39391.0,579.0,67.71354408402523,95.54455445544555,27.83101037142032,68.03281519861831,231600.0,1181730.0,-950130.0
69.0,588.0,587.0,1.0,99.82993197278911,0.17006802721088832,40558.0,39978.0,580.0,68.72260326955804,95.7095709570957,26.98696768753767,68.92758620689655,232000.0,1199340.0,-967340.0
70.0,587.0,587.0,0.0,100.0,0.0,41145.0,40565.0,580.0,69.73166245509086,95.7095709570957,25.97790850200485,69.9396551724138,232000.0,1216950.0,-984950.0
71.0,588.0,588.0,0.0,100.0,0.0,41733.0,41153.0,580.0,70.74244065116119,95.7095709570957,24.967130305934518,70.95344827586207,232000.0,1234590.0,-1002590.0
72.0,588.0,587.0,1.0,99.82993197278911,0.17006802721088832,42321.0,41740.0,581.0,71.751499836694,95.87458745874588,24.123087622051884,71.84165232358004,232400.0,1252200.0,-1019800.0
